"SHOW","THIS.WEEK.GROSS...POTENTIAL.GROSS","DIFF..","AVG.TICKET...TOP.TICKET","SEATS.SOLD...SEATS.IN.THEATRE","PERFS.PREVIEWS","X..CAP","DIFF...CAP","WEEK.DATE"
"Merrily We Roll Along",1598882,-89658,206.89,7728,8,100,0,"2024-01-28"
"MJ The Musical",1349620,-87102.5,132.24,10206,8,91.98,-3.28,"2024-01-28"
"Moulin Rouge! The Musical",1120096.63,43346.19,111.41,10054,8,96.67,2.97,"2024-01-28"
"Prayer For The French Republic",504049,69003,102.87,4900,8,96.15,6.49,"2024-01-28"
"Purlie Victorious",648791.7,152014.6,95.41,6800,8,84.92,22.08,"2024-01-28"
"SIX: The Musical",879245,-890.8,107.65,8168,8,99.03,2.52,"2024-01-28"
"Spamalot",828353.3,-4323.35,86.67,9558,8,72.28,2.06,"2024-01-28"
"Sweeney Todd",776081.2,-19318.7,81.97,9468,7,90.29,-0.01,"2024-01-28"
"Wicked",1634333.5,-61426.5,112.34,14548,8,97.43,-1.19,"2024-01-28"
"& Juliet",974754.3,-193189.6,128.09,7610,8,92.71,-2.65,"2024-01-21"
"Aladdin",1051107.4,229510.4,85.08,12354,8,89.42,-3.05,"2024-01-21"
"Appropriate",701140.35,248266.1,158.59,4421,8,95.12,11.4,"2024-01-21"
"Back To The Future",974544,-243499.31,96.51,10098,8,85.4,-11.4,"2024-01-21"
"A Beautiful Noise The Neil Diamond Musical",694421.65,-51901.5,135.18,5137,8,55.69,-3.11,"2024-01-21"
"The Book of Mormon",915103.9,-103504.38,111.98,8172,8,95.83,-0.98,"2024-01-21"
"Chicago",602306.15,-78063.83,92.51,6511,8,75.36,-4.95,"2024-01-21"
"Days Of Wine And Roses",417512,-73428.5,80.51,5186,0,65.61,-16.04,"2024-01-21"
"Gutenberg! The Musical!",1163354.1,-45380.8,139.11,8363,8,98.25,-0.54,"2024-01-21"
"Hadestown",695295.75,-136539.2,98.9,7030,8,95.72,-4.51,"2024-01-21"
"Hamilton",1762562.25,-139287.5,169.69,10387,8,98.06,-2.53,"2024-01-21"
"Harmony",540359.77,5591.06,82.35,6562,8,79.79,3.21,"2024-01-21"
"Harry Potter and the Cursed Child",1074727.9,-312959.4,96.44,11144,8,85.88,-8.29,"2024-01-21"
"How to Dance in Ohio",383042.05,-4275.75,76.33,5018,8,63.42,0.41,"2024-01-21"
"Kimberly Akimbo",487860.4,-83823.6,95.66,5100,8,82.47,-8.98,"2024-01-21"
"The Lion King",1813274,-105498,140.53,12903,8,95.1,-0.51,"2024-01-21"
"Merrily We Roll Along",1688540,-146327,218.5,7728,8,100,0,"2024-01-21"
"MJ The Musical",1436722.5,35465,135.92,10570,8,95.26,5.8,"2024-01-21"
"Moulin Rouge! The Musical",1076750.44,-94680.12,110.49,9745,8,93.7,-5.49,"2024-01-21"
"Prayer For The French Republic",435046,103305,95.22,4569,8,89.66,-7.31,"2024-01-21"
"Purlie Victorious",496777.1,-42871.95,98.72,5032,8,62.84,-2.33,"2024-01-21"
"SIX: The Musical",880135.8,-126544.7,110.57,7960,8,96.51,-1.64,"2024-01-21"
"Spamalot",832676.65,-220389.3,89.67,9286,8,70.22,-17.23,"2024-01-21"
"Sweeney Todd",795399.9,-1315746.6,84,9469,7,90.3,-10.49,"2024-01-21"
"Wicked",1695760,-62006,118.94,14257,8,98.62,5.83,"2024-01-21"
"& Juliet",1167943.9,49882,149.22,7827,8,95.36,-4.63,"2024-01-14"
"Aladdin",821597,-795409.1,85.74,9582,6,92.47,-5.52,"2024-01-14"
"Appropriate",452874.25,-145700.95,133,3405,7,83.72,-10.6,"2024-01-14"
"Back To The Future",1218043.31,-156772.14,106.42,11446,8,96.8,-2.35,"2024-01-14"
"A Beautiful Noise The Neil Diamond Musical",746323.15,53292.45,137.6,5424,8,58.8,-0.65,"2024-01-14"
"The Book of Mormon",1018608.28,-84996.67,123.38,8256,8,96.81,-3.61,"2024-01-14"
"Chicago",680369.98,-219736.87,98.05,6939,8,80.31,-8.97,"2024-01-14"
"Days Of Wine And Roses",490940.5,328847.5,76.07,6454,0,81.65,-18.45,"2024-01-14"
"Gutenberg! The Musical!",1208734.9,152088.8,143.74,8409,8,98.79,0.96,"2024-01-14"
"Hadestown",831834.95,-1252.5,113.01,7361,8,100.23,-0.8,"2024-01-14"
"Hamilton",1901849.75,-86499.5,178.51,10654,8,100.59,-0.72,"2024-01-14"
"Harmony",534768.71,88830.16,84.91,6298,8,76.58,14.14,"2024-01-14"
"Harry Potter and the Cursed Child",1387687.3,-320651.1,113.57,12219,8,94.17,-4.21,"2024-01-14"
"How to Dance in Ohio",387317.8,39880.25,77.7,4985,8,63.01,-4.74,"2024-01-14"
"Kimberly Akimbo",571684,25174.05,101.09,5655,8,91.45,2.37,"2024-01-14"
"The Lion King",1918772,-525302,147.92,12972,8,95.61,-0.55,"2024-01-14"
"Merrily We Roll Along",1834867,49636,237.43,7728,8,100,0,"2024-01-14"
"MJ The Musical",1401257.5,-167901.5,141.16,9927,8,89.46,-9.33,"2024-01-14"
"Moulin Rouge! The Musical",1171430.56,-164093.68,113.55,10316,8,99.19,-0.44,"2024-01-14"
"Prayer For The French Republic",331741,-34782,76.72,4324,7,96.97,5.98,"2024-01-14"
"Purlie Victorious",539649.05,53580.71,103.4,5219,8,65.17,-2.42,"2024-01-14"
"Shucked",1111037.6,186834,120.16,9246,8,98.7,0.73,"2024-01-14"
"SIX: The Musical",1006680.5,-25698,124.36,8095,8,98.15,0.74,"2024-01-14"
"Spamalot",1053065.95,-28899.25,91.06,11564,8,87.45,-4.27,"2024-01-14"
"Sweeney Todd",2111146.5,73293.5,199.75,10569,7,100.79,-0.01,"2024-01-14"
"Wicked",1757766,-367049,131.05,13413,8,92.79,-5.72,"2024-01-14"
"& Juliet",1118061.9,-665989.1,155.7,7181,7,99.99,-0.59,"2024-01-07"
"Aladdin",1617006.1,-1362722.2,119.44,13538,8,97.99,-1.69,"2024-01-07"
"Appropriate",598575.2,-154449.2,156.04,3836,7,94.32,-3.83,"2024-01-07"
"Back To The Future",1374815.45,-734608.51,117.27,11724,8,99.15,-2.3,"2024-01-07"
"A Beautiful Noise The Neil Diamond Musical",693030.7,-421599.3,126.37,5484,8,59.45,-19.34,"2024-01-07"
"The Book of Mormon",1103604.95,-427321.13,128.87,8564,8,100.42,-1.6,"2024-01-07"
"Chicago",900106.85,-551901.65,116.68,7714,8,89.28,-11.81,"2024-01-07"
"Days Of Wine And Roses",162093,0,81.95,1978,0,100.1,0,"2024-01-07"
"Gutenberg! The Musical!",1056646.1,-223951,126.89,8327,8,97.83,-2.69,"2024-01-07"
"Hadestown",833087.45,-281361.8,112.28,7420,8,101.03,-0.15,"2024-01-07"
"Hamilton",1988349.25,-416617.75,185.29,10731,8,101.31,-0.18,"2024-01-07"
"Harmony",445938.55,-109261.19,86.84,5135,8,62.44,-6.94,"2024-01-07"
"Harry Potter and the Cursed Child",1708338.4,-1010149.1,133.82,12766,8,98.38,-0.56,"2024-01-07"
"How to Dance in Ohio",347437.55,-189002.95,74.08,4690,7,67.75,-15.82,"2024-01-07"
"Kimberly Akimbo",546509.95,-173820.05,99.2,5509,8,89.08,-7.09,"2024-01-07"
"The Lion King",2444074,-1872555,187.33,13047,8,96.16,-2.51,"2024-01-07"
"Merrily We Roll Along",1785231,-210127,231.01,7728,8,100,0,"2024-01-07"
"MJ The Musical",1569159,-1044682,163.59,9592,7,98.79,-1.58,"2024-01-07"
"Moulin Rouge! The Musical",1335524.24,-450629.86,128.9,10361,8,99.63,-0.3,"2024-01-07"
"Prayer For The French Republic",366523,116187,79.04,4637,0,90.99,2.54,"2024-01-07"
"Purlie Victorious",486068.34,-115466.96,102.63,4736,7,67.59,8.18,"2024-01-07"
"Shucked",924203.6,-126047,100.7,9178,8,97.97,-1.4,"2024-01-07"
"SIX: The Musical",1032378.5,-626625.5,128.5,8034,8,97.41,-3.04,"2024-01-07"
"Spamalot",1081965.2,-421221.45,89.2,12129,8,91.72,-4.81,"2024-01-07"
"Sweeney Todd",2037853,-223425.5,192.8,10570,7,100.8,0.98,"2024-01-07"
"Wicked",2124815,-1878418,139.99,15178,8,98.51,-1.46,"2024-01-07"
"& Juliet",1784051,436010.8,192.08,9288,9,100.58,1.83,"2023-12-31"
"Aladdin",2979728.3,1048345.4,192.31,15494,9,99.68,1.87,"2023-12-31"
"Appropriate",753024.4,228161.55,165.06,4562,8,98.15,10.59,"2023-12-31"
"Back To The Future",2109423.96,558216.82,175.84,11996,8,101.45,2.09,"2023-12-31"
"A Beautiful Noise The Neil Diamond Musical",1114630,419423,136.33,8176,9,78.79,17.79,"2023-12-31"
"The Book of Mormon",1530926.08,230907.12,175.97,8700,8,102.02,4.6,"2023-12-31"
"Chicago",1452008.5,641560.5,147.77,9826,9,101.09,6.38,"2023-12-31"
"Gutenberg! The Musical!",1280597.1,294728.3,149.67,8556,8,100.52,6.64,"2023-12-31"
"Hadestown",1114449.25,272130.1,149.97,7431,8,101.18,1.6,"2023-12-31"
"Hamilton",2404967,88018,223.72,10750,8,101.49,0.36,"2023-12-31"
"Harmony",555199.74,165196.88,86.49,6419,9,69.38,13.65,"2023-12-31"
"Harry Potter and the Cursed Child",2718487.5,681285.4,211.74,12839,8,98.94,4.18,"2023-12-31"
"How to Dance in Ohio",536440.5,212972.85,81.13,6612,8,83.57,20.6,"2023-12-31"
"I Need That",905467.2,70404,153.63,5894,8,99.56,0.52,"2023-12-31"
